# ids|reference|exact Arabic search text (diacritics omitted)|Russian meaning|English meaning|Kyrgyz meaning
battle|muslim:2897|لا تقوم الساعة حتى ينزل الروم بالأعماق أو بدابق فيخرج إليهم جيش من المدينة من خيار أهل الأرض يومئذ|Час не наступит, пока римляне не расположатся в аль-Амаке или Дабике. Навстречу им выйдет войско из Медины, состоящее из лучших людей на земле в тот день.|The Hour will not come until the Romans camp at al-Amaq or Dabiq. An army from Medina, composed of the best people on earth that day, will go out to meet them.|Римдиктер аль-Амакка же Дабикке келип жайгашмайынча Кыямат болбойт. Аларга каршы Мединадан ошол күндөгү жер жүзүнүн эң жакшы адамдарынан турган кошуун чыгат.
constantinople|muslim:2897|فيفتتحون قسطنطينية فبينما هم يقتسمون الغنائم قد علقوا سيوفهم بالزيتون إذ صاح فيهم الشيطان إن المسيح قد خلفكم في أهليكم|Они возьмут Константинополь. Когда они будут делить добычу, повесив свои мечи на оливковые деревья, шайтан возгласит среди них: «Масих [Даджаль] уже занял ваше место среди ваших семей!»|They will take Constantinople. While they divide the spoils, having hung their swords on olive trees, Satan will cry out among them: “The Messiah [Dajjal] has taken your place among your families!”|Алар Константинополду алышат. Кылычтарын зайтун дарактарына илип, олжону бөлүшүп жатканда шайтан алардын арасында: «Масих [Дажжал] үй-бүлөңөргө силерден кийин барды!» — деп кыйкырат.
return-sham|muslim:2897|فيخرجون وذلك باطل فإذا جاءوا الشأم خرج|Они выступят в путь, хотя это известие ложно. А когда они придут в аш-Шам, он [Даджаль] появится.|They will set out, although that report is false. When they reach al-Sham, he [the Dajjal] will appear.|Алар жолго чыгышат, бирок бул кабар жалган болот. Аш-Шамга келгенде ал [Дажжал] чыгат.
dajjal|muslim:2937a|إنه خارج خلة بين الشأم والعراق فعاث يمينا وعاث شمالا يا عباد الله فاثبتوا|Он появится на пути между аш-Шамом и Ираком и станет сеять зло направо и налево. О рабы Аллаха, будьте стойкими!|He will emerge on a road between al-Sham and Iraq and spread corruption to the right and to the left. Servants of Allah, stand firm!|Ал аш-Шам менен Ирактын ортосундагы жолдо чыгып, оңго да, солго да бузукулук таратат. Оо, Аллахтын пенделери, бекем тургула!
medina-protected|bukhari:7124|يجيء الدجال حتى ينزل في ناحية المدينة، ثم ترجف المدينة ثلاث رجفات، فيخرج إليه كل كافر ومنافق|Даджаль придёт и остановится у окраины Медины. Затем Медина содрогнётся трижды, и к нему выйдет каждый неверующий и лицемер.|The Dajjal will come and camp on the outskirts of Medina. Medina will then shake three times, and every disbeliever and hypocrite will go out to him.|Дажжал келип, Мединанын четине токтойт. Андан кийин Медина үч жолу силкинип, ар бир каапыр жана мунафык ага чыгат.
mecca-protected|muslim:2942a|فلا أدع قرية إلا هبطتها في أربعين ليلة غير مكة وطيبة فهما محرمتان على كلتاهما|[В рассказе Тамима Даджаль говорит:] «За сорок ночей я не оставлю ни одного поселения, в которое не войду, кроме Мекки и Тайбы: обе они для меня запретны».|[In Tamim’s account, the Dajjal says:] “In forty nights I will leave no settlement without entering it, except Mecca and Taybah: both are forbidden to me.”|[Тамимдин баянында Дажжал айтат:] «Кырк түндө Мекке менен Тайбадан башка кирбеген конуш калтырбайм. Бул эки шаарга кирүүгө мага тыюу салынган».
isfahan|muslim:2944|يتبع الدجال من يهود أصبهان سبعون ألفا عليهم الطيالسة|За Даджалем последуют семьдесят тысяч иудеев Исфахана, одетых в тайласаны.|Seventy thousand Jews of Isfahan, wearing taylasan cloaks, will follow the Dajjal.|Дажжалдын артынан тайласан жамынган Исфахандын жетимиш миң жөөтү ээрчийт.
believer|bukhari:7132|فيقتله ثم يحييه فيقول والله ما كنت فيك أشد بصيرة مني اليوم. فيريد الدجال أن يقتله فلا يسلط عليه|Он убьёт его, затем оживит. Тот скажет: «Клянусь Аллахом, никогда я не был так уверен в том, кто ты, как сегодня». Даджаль захочет снова убить его, но власти над ним ему не будет дано.|He will kill him and then bring him back to life. The man will say: “By Allah, I have never been more certain about you than today.” The Dajjal will want to kill him, but will not be given power over him.|Ал аны өлтүрүп, кайра тирилтет. Ал киши: «Аллахка ант, сенин ким экениңди бүгүнкүдөй анык билген эмесмин», — дейт. Дажжал аны өлтүргүсү келет, бирок ага бийлик берилбейт.
isa|muslim:2937a|إذ بعث الله المسيح ابن مريم فينزل عند المنارة البيضاء شرقي دمشق بين مهرودتين واضعا كفيه على أجنحة ملكين|Тогда Аллах пошлёт Масиха, сына Марьям. Он спустится у белого минарета к востоку от Дамаска, в двух окрашенных одеждах, положив ладони на крылья двух ангелов.|Then Allah will send the Messiah, son of Maryam. He will descend by the white minaret east of Damascus, wearing two dyed garments, with his palms resting on the wings of two angels.|Ошондо Аллах Марьямдын уулу Масихти жиберет. Ал Дамасктын чыгышындагы ак мунаранын жанына эки боёлгон кийим кийип, алакандарын эки периштенин канаттарына коюп түшөт.
ludd|muslim:2937a|فيطلبه حتى يدركه بباب لد فيقتله|Он [Иса] станет преследовать его [Даджаля], настигнет у ворот Лудда и убьёт его.|He [Isa] will pursue him [the Dajjal], catch him at the gate of Ludd, and kill him.|Ал [Иса] аны [Дажжалды] кууп, Лудд дарбазасында жетип, өлтүрөт.
